City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
237,Homer,US,59.6425,-151.5483,44.49,72,100,12.66,overcast clouds,2022-05-02 04:38:45
238,Severo-Kurilsk,RU,50.6789,156.125,36.28,87,86,7.43,overcast clouds,2022-05-02 04:38:55
239,Sept-Iles,CA,50.2001,-66.3821,41.52,42,0,5.75,clear sky,2022-05-02 04:35:01
240,Inta,RU,66.0317,60.1659,28.49,80,100,14.0,light snow,2022-05-02 04:38:55
241,Caravelas,BR,-17.7125,-39.2481,72.14,89,1,2.06,clear sky,2022-05-02 04:38:55
242,Bengkulu,ID,-3.8004,102.2655,85.44,63,100,5.93,overcast clouds,2022-05-02 04:35:09
243,Jinchang,CN,38.4953,102.1739,62.47,11,0,3.02,clear sky,2022-05-02 04:38:56
244,Champerico,GT,14.3,-91.9167,83.68,72,97,4.14,overcast clouds,2022-05-02 04:38:56
245,Rawson,AR,-43.3002,-65.1023,51.44,68,100,10.92,overcast clouds,2022-05-02 04:38:57
246,Guerrero Negro,MX,27.9769,-114.0611,59.5,82,28,13.69,scattered clouds,2022-05-02 04:38:57
247,Winnemucca,US,40.973,-117.7357,46.45,61,0,4.61,clear sky,2022-05-02 04:38:58
248,Codrington,AU,-38.2667,141.9667,67.62,53,100,11.52,overcast clouds,2022-05-02 04:38:58
249,Touros,BR,-5.1989,-35.4608,76.84,89,22,10.47,few clouds,2022-05-02 04:38:58
250,Limanowa,PL,49.7059,20.422,49.15,84,69,0.63,broken clouds,2022-05-02 04:38:59
251,Gairo,IT,39.8497,9.5047,45.61,64,4,4.23,clear sky,2022-05-02 04:38:59
252,Laguna,US,38.421,-121.4238,66.43,44,0,8.05,clear sky,2022-05-02 04:39:00
253,Marawi,PH,7.9986,124.2928,77.52,85,88,4.25,overcast clouds,2022-05-02 04:39:00
254,Pathein,MM,16.7833,94.7333,98.49,36,13,10.29,few clouds,2022-05-02 04:39:01
255,Kirovskiy,RU,45.0917,133.5136,52.39,49,98,10.8,overcast clouds,2022-05-02 04:39:01
256,Ibanda,TZ,-2.7974,32.4746,64.36,95,99,4.07,overcast clouds,2022-05-02 04:39:02
257,Intipuca,SV,13.1969,-88.0544,84.15,89,93,1.36,overcast clouds,2022-05-02 04:39:02
258,Inyonga,TZ,-6.7167,32.0667,63.19,93,89,5.17,overcast clouds,2022-05-02 04:39:03
