City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
282,Lev Tolstoy,RU,2022-05-02 03:46:43,53.2134,39.446,41.97,61,98,7.74
283,Troitsko-Pechorsk,RU,2022-05-02 03:46:44,62.7084,56.1964,32.47,79,100,8.75
284,Turukhansk,RU,2022-05-02 03:46:44,65.8167,87.9833,31.24,98,64,10.42
285,Kruisfontein,ZA,2022-05-02 03:46:44,-34.0033,24.7314,51.66,85,1,4.92
286,Tasiilaq,GL,2022-05-02 03:46:45,65.6145,-37.6368,18.25,64,87,4.25
287,Bosaso,SO,2022-05-02 03:42:48,11.2842,49.1816,87.51,61,2,8.61
288,Holland,US,2022-05-02 03:46:45,42.7875,-86.1089,49.41,69,100,13.8
289,Los Llanos De Aridane,ES,2022-05-02 03:46:46,28.6585,-17.9182,66.13,40,0,13.8
290,Acapulco,MX,2022-05-02 03:43:20,16.8634,-99.8901,78.62,73,75,4.61
291,Port Blair,IN,2022-05-02 03:46:46,11.6667,92.75,87.84,74,75,5.75
292,Saint-Francois,FR,2022-05-02 03:46:47,46.4154,3.9054,37.67,100,100,2.3
293,Tezu,IN,2022-05-02 03:46:47,27.9167,96.1667,80.11,63,98,2.19
